Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rd,cp_rs1_edges,cp_imm_edges,cp_fs1,cp_fs2,cp_fs3,cp_fd,cp_fs1_edges,cp_fs2_edges,cp_fs3_edges,cmp_fd_fs1,cmp_fd_fs2,cmp_fd_fs3,cp_frm,cp_csr_fflags,cp_csr_frm,cr_fs1_fs2_edges,cr_fs1_fs3_edges,cp_fclass,cp_fpr_hazard,cp_gpr_hazard
fadd.s,FR,x,x,x,,,,,x,x,,x,x,x,,x,x,,3,von,x,frm,,,rw,
fclass.s,FIX,x,x,x,,x,,,x,,,,x,,,,,,,,,,,x,r,w
fcvt.l.s,F2X,,x,x,,x,,,x,,,,frm,,,,,,2,vn,x,,,,r,w
fcvt.lu.s,F2X,,x,x,,x,,,x,,,,frm,,,,,,2,vn,x,,,,r,w
fcvt.s.l,X2F,,x,x,x,,x,,,,,x,,,,,,,2,n,x,,,,w,r
fcvt.s.lu,X2F,,x,x,x,,x,,,,,x,,,,,,,2,n,x,,,,w,r
fcvt.s.w,X2F,x,x,x,x,,x,,,,,x,,,,,,,2,n,x,,,,w,r
fcvt.s.wu,X2F,x,x,x,x,,x,,,,,x,,,,,,,2,n,x,,,,w,r
fcvt.w.s,F2X,x,x,x,,x,,,x,,,,frm,,,,,,2,vn,x,,,,r,w
fcvt.wu.s,F2X,x,x,x,,x,,,x,,,,frm,,,,,,2,vn,x,,,,r,w
fdiv.s,FR,x,x,x,,,,,x,x,,x,x,x,,x,x,,3,vdoun,x,frm,,,rw,
feq.s,FC,x,x,x,,x,,,x,x,,,x,x,,,,,,v,,x,,,r,w
fle.s,FC,x,x,x,,x,,,x,x,,,x,x,,,,,,v,,x,,,r,w
flt.s,FC,x,x,x,,x,,,x,x,,,x,x,,,,,,v,,x,,,r,w
flw,FL,x,x,x,nx0,,,x,,,,x,,,,,,,,,,,,,w,r
fmadd.s,FR4,x,x,x,,,,,x,x,x,x,x,x,x,x,x,x,4,voun,x,frm4,frm4,,rw,
fmax.s,FR,x,x,x,,,,,x,x,,x,x,x,,x,x,,,v,,x,,,rw,
fmin.s,FR,x,x,x,,,,,x,x,,x,x,x,,x,x,,,v,,x,,,rw,
fmsub.s,FR4,x,x,x,,,,,x,x,x,x,x,x,x,x,x,x,4,voun,x,frm4,frm4,,rw,
fmul.s,FR,x,x,x,,,,,x,x,,x,x,x,,x,x,,3,voun,x,frm,,,rw,
fmv.w.x,X2F,x,x,x,x,,x,,,,,x,,,,,,,,,,,,,w,r
fmv.x.w,F2X,x,x,x,,x,,,x,,,,x,,,,,,,,,,,,r,w
fnmadd.s,FR4,x,x,x,,,,,x,x,x,x,x,x,x,x,x,x,4,voun,x,frm4,frm4,,rw,
fnmsub.s,FR4,x,x,x,,,,,x,x,x,x,x,x,x,x,x,x,4,voun,x,frm4,frm4,,rw,
fsgnj.s,FR,x,x,x,,,,,x,x,,x,x,x,,x,x,,,,,x,,,rw,
fsgnjn.s,FR,x,x,x,,,,,x,x,,x,x,x,,x,x,,,,,x,,,rw,
fsgnjx.s,FR,x,x,x,,,,,x,x,,x,x,x,,x,x,,,,,x,,,rw,
fsqrt.s,FI,x,x,x,,,,,x,,,x,x,,,x,,,2,vn,x,,,,rw,
fsub.s,FR,x,x,x,,,,,x,x,,x,x,x,,x,x,,3,von,x,frm,,,rw,
fsw,FS,x,x,x,nx0,,,x,,x,,,,x,,,,,,,,,,,r,r
