Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs1_edges,cp_rs2_edges,cr_rs1_imm_edges,cr_rs1_rs2_edges,cmp_rs1_rs2,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cp_offset,cp_uimm,cp_imm_edges,cp_gpr_hazard,cp_align,cp_memval,cp_custom
add,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,rw,,,
addi,I,x,x,x,x,,x,x,,x,,,x,,,,,x,rw,,,
addiw,I,,x,x,x,,x,x,,x,,,x,,,,,x,rw,,,
addw,R,,x,x,x,x,x,x,x,,x,x,x,x,x,,,,rw,,,
and,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,rw,,,
andi,I,x,x,x,x,,x,x,,x,,,x,,,,,x,rw,,,
auipc,U,x,x,x,,,x,,,,,,,,,,,20bit,w,,,
beq,B,x,x,x,x,x,,x,x,,offset,x,,,,x,,,r,,,
bge,B,x,x,x,x,x,,x,x,,offset,x,,,,x,,,r,,,
bgeu,B,x,x,x,x,x,,x,x,,offset,x,,,,x,,,r,,,
blt,B,x,x,x,x,x,,x,x,,offset,x,,,,x,,,r,,,
bltu,B,x,x,x,x,x,,x,x,,offset,x,,,,x,,,r,,,
bne,B,x,x,x,x,x,,x,x,,offset,x,,,,x,,,r,,,
jal,J,x,x,x,,,x,,,,,,,,,,,jal,w,,,
jalr,JR,x,x,x,nx0,,x,,,,,,nx0,,,jalr,,x,rw,,,
lb,L,x,x,x,nx0,,x,,,,,,nx0,,,,,x,rw,byte,byte,
lbu,L,x,x,x,nx0,,x,,,,,,nx0,,,,,x,rw,byte,byte,
ld,L,,x,x,nx0,,x,,,,,,nx0,,,,,x,rw,,double,
lh,L,x,x,x,nx0,,x,,,,,,nx0,,,,,x,rw,hword,hword,
lhu,L,x,x,x,nx0,,x,,,,,,nx0,,,,,x,rw,hword,hword,
lui,U,x,x,x,,,x,,,,,,,,,,,20bit,w,,,
lw,L,x,x,x,nx0,,x,,,,,,nx0,,,,,x,rw,word,word,
lwu,L,,x,x,nx0,,x,,,,,,nx0,,,,,x,rw,word,word,
or,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,rw,,,
ori,I,x,x,x,x,,x,x,,x,,,x,,,,,x,rw,,,
sb,S,x,x,x,nx0,x,,,x,,,,,,,,,x,r,byte,,
sd,S,,x,x,nx0,x,,,x,,,,,,,,,x,r,,,
sh,S,x,x,x,nx0,x,,,x,,,,,,,,,x,r,hword,,
sll,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,rw,,,
slli,IS,x,x,x,x,,x,x,,uimm,,,x,,,,x,,rw,,,
slliw,IS,,x,x,x,,x,x,,uimmw,,,x,,,,5,,rw,,,
sllw,R,,x,x,x,x,x,x,x,,x,x,x,x,x,,,,rw,,,
slt,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,rw,,,
slti,I,x,x,x,x,,x,x,,x,,,x,,,,,x,rw,,,
sltiu,I,x,x,x,x,,x,x,,x,,,x,,,,,x,rw,,,
sltu,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,rw,,,
sra,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,rw,,,
srai,IS,x,x,x,x,,x,x,,uimm,,,x,,,,x,,rw,,,
sraiw,IS,,x,x,x,,x,x,,uimmw,,,x,,,,5,,rw,,,
sraw,R,,x,x,x,x,x,x,x,,x,x,x,x,x,,,,rw,,,
srl,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,rw,,,
srli,IS,x,x,x,x,,x,x,,uimm,,,x,,,,x,,rw,,,
srliw,IS,,x,x,x,,x,x,,uimmw,,,x,,,,5,,rw,,,
srlw,R,,x,x,x,x,x,x,x,,x,x,x,x,x,,,,rw,,,
sub,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,rw,,,
subw,R,,x,x,x,x,x,x,x,,x,x,x,x,x,,,,rw,,,
sw,S,x,x,x,nx0,x,,,x,,,,,,,,,x,r,word,,
xor,R,x,x,x,x,x,x,x,x,,x,x,x,x,x,,,,rw,,,
xori,I,x,x,x,x,,x,x,,x,,,x,,,,,x,rw,,,
fence,F,x,x,x,,,,,,,,,,,,,,,,,,fence
