Instruction,Type,cp_asm_count,cp_rd,cp_rs1,cp_rs2,cmp_rd_rs1_eqval,cmp_rd_rs2_eqval,cmp_rs1_rs2_eqval,cp_gpr_hazard,cp_rd_corners,cp_rs1_corners,cp_rs2_corners,cr_rs1_rs2_corners,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cmp_rs1_rs2,cp_rd_sign,cp_rs1_sign,cp_rs2_sign,cr_rs1_rs2,cp_offset,cp_imm_sign,cr_rs1_imm,cp_rd_toggle,cp_rs1_toggle,cp_rs2_toggle,cp_imm_ones_zeros,cp_imm_zero,cp_memhazard,cp_memunaligned,cp_rd_boolean,cp_imm_shift,cp_rdp,cp_rs2p,cp_rs1p,cp_fdp,cp_fs2p,cr_rs1_imm_corners
min,R,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,,,x,,,,x,x,x,,,,,,,,,,,,
minu,R,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,,,x,,,,x,x,x,,,,,,,,,,,,
max,R,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,,,x,,,,x,x,x,,,,,,,,,,,,
maxu,R,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,,,x,,,,x,x,x,,,,,,,,,,,,
orn,R,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,,,x,,,,x,x,x,,,,,,,,,,,,
andn,R,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,,,x,,,,x,x,x,,,,,,,,,,,,
xnor,R,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,,,x,,,,x,x,x,,,,,,,,,,,,
rol,R,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,,,x,,,,x,x,x,,,,,,,,,,,,
ror,R,x,x,x,x,x,x,x,,x,x,x,x,x,x,x,x,,,,x,,,,x,x,x,,,,,,,,,,,,
orc.b,I,x,x,x,,x,,,,x,x,,,x,,,,,,,,,x,x,x,x,,x,x,,,,,,,,,,x
zext.h,I,x,x,x,,x,,,,x,x,,,x,,,,,,,,,x,x,x,x,,x,x,,,,,,,,,,x
clz,I,x,x,x,,x,,,,x,x,,,x,,,,,,,,,x,x,x,x,,x,x,,,,,,,,,,x
cpop,I,x,x,x,,x,,,,x,x,,,x,,,,,,,,,x,x,x,x,,x,x,,,,,,,,,,x
ctz,I,x,x,x,,x,,,,x,x,,,x,,,,,,,,,x,x,x,x,,x,x,,,,,,,,,,x
sext.b,I,x,x,x,,x,,,,x,x,,,x,,,,,,,,,x,x,x,x,,x,x,,,,,,,,,,x
sext.h,I,x,x,x,,x,,,,x,x,,,x,,,,,,,,,x,x,x,x,,x,x,,,,,,,,,,x
rev8,I,x,x,x,,x,,,,x,x,,,x,,,,,,,,,x,x,x,x,,x,x,,,,,,,,,,x
rori,I,x,x,x,,x,,,,x,x,,,x,,,,,,,,,x,x,x,x,,x,x,,,,,,,,,,x
