Instruction,Type,cp_asm_count,cp_rd,cp_rs1,cp_rs2,cmp_rd_rs1_eqval,cmp_rd_rs2_eqval,cmp_rs1_rs2_eqval,cp_gpr_hazard,cr_rs1_rs2_corners,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cmp_rs1_rs2,cp_rd_sign,cp_rs1_sign,cp_rs2_sign,cr_rs1_rs2,cp_offset,cp_imm_sign,cr_rs1_imm_corners,cp_rs1_toggle,cp_imm_ones_zeros,cp_imm_zero,cp_memhazard,cp_memunaligned,cp_rd_boolean,cp_imm_shift,cp_rdp,cp_rs2p,cp_rd_corners,cp_rs2_corners,cp_rd_toggle,cp_rs2_toggle,cp_rs1p,cp_rs1_corners,cp_rs1_toggle,cp_fdp,cp_fs2p,cr_rs1_imm_corners
c.nop,CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c.addi4spn,I,x,,,,,,,,,,,,,,,,,,x,,,x,,,,,,x,,,,,,,,,,
c.lw,L,x,,,,,,,,,x,,,,,,,,,,,x,,,,,,,x,,x,,x,,x,,,x,
c.sw,S,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,x,,x,x,,,x,
c.lui,CI,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
c.addi,CI,x,x,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,x,,x,,,,,,
c.li,CI,x,x,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,6bit,,x,,,,,,
c.addi16sp,CI,x,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,
c.andi,CI,x,,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,x,,,,,,
c.srli,CI,x,,,,,,,,,,,,,,,,,,,,,,,,,,c,x,,srli,,srli,,,,,,
c.srai,CI,x,,,,,,,,,,,,,x,,,,,,,,,,,,,c,x,,srai,,x,,,,,,
c.slli,CI,x,x,,,,,,,,,,,,x,,,,,,,,,,,,,c,,,slli,,slli,,,,,,
c.sub,CR,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,
c.xor,CR,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,
c.or,CR,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,
c.and,CR,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,x,x,x,,,,,
c.beqz,CI,x,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,x,,,x,
c.bnez,CI,x,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,x,,,x,
c.mv,CR,x,x,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,x,x,,,,,
c.add,CR,x,x,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,x,x,x,x,,,,,
c.swsp,S,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,,,
c.lwsp,L,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
c.jr,CJR,x,,x,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
c.jalr,CJR,x,,x,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,
c.j,CJ,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
c.jal,CJ,x,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,

