Instruction,Type,cp_asm_count,cp_rd,cp_rs1,cp_rs2,cmp_rd_rs1_eqval,cmp_rd_rs2_eqval,cmp_rs1_rs2_eqval,cp_fpr_hazard,cp_rd_corners,cp_rs1_corners,cp_rs2_corners,cr_rs1_rs2_corners,cmp_fd_fs1,cmp_fd_fs2,cmp_rd_rs1_rs2,cmp_rs1_rs2,cp_rd_sign,cp_rs1_sign,cp_rs2_sign,cr_rs1_rs2_sign,cp_offset,cp_imm_sign,cr_rs1_imm,cp_rd_toggle,cp_rs1_toggle,cp_rs2_toggle,cp_imm_ones_zeros,cp_imm_zero,cp_memhazard,cp_memunaligned,cp_rd_boolean,cp_imm_shift,cp_rdp,cp_rs2p,cp_rs1p,cp_fdp,cp_fs2p,cr_rs1_imm_corners,cp_bs,cp_rnum,cp_sc,cbo***,cp_csr_fflags,cp_csr_frm,cp_fs1_corners,cp_fs2_corners,cp_fs3_corners,cp_frm,cr_fs1_fs2_corners,cr_fs1_fs3_corners,cp_fclass,cp_fd,cp_fs1,cp_fs2,cp_fmemhazard,cp_fd_toggle,cp_gpr_hazard,cmp_fd_fs3,cr_fs1_corners,cp_NaNBox,cp_fs1_badNB,cp_fs2_badNB,cp_fs3_badNB
fmadd.s,FR4,x,,,,,,,rw,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voun,x,x,x,x,4,frm4,frm4,,x,x,x,,,,x,,,,,
fmsub.s,FR4,x,,,,,,,rw,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voun,x,x,x,x,4,frm4,frm4,,x,x,x,,,,x,,,,,
fnmsub.s,FR4,x,,,,,,,rw,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voun,x,x,x,x,4,frm4,frm4,,x,x,x,,,,x,,,,,
fnmadd.s,FR4,x,,,,,,,rw,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voun,x,x,x,x,4,frm4,frm4,,x,x,x,,,,x,,,,,
fadd.s,FR,x,,,,,,,rw,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,von,x,x,x,,3,frm,,,x,x,x,,,,,,,,,
fsub.s,FR,x,,,,,,,rw,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,von,x,x,x,,3,frm,,,x,x,x,,,,,,,,,
fmul.s,FR,x,,,,,,,rw,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,voun,x,x,x,,3,frm,,,x,x,x,,,,,,,,,
fdiv.s,FR,x,,,,,,,rw,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vdoun,x,x,x,,3,frm,,,x,x,x,,,,,,,,,
fsqrt.s,FI,x,,,,,,,rw,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vn,x,x,,,2,,,,x,x,,,,,,frm,,,,
fsgnj.s,FR,x,,,,,,,rw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,x,x,x,,,,,,,,,
fsgnjn.s,FR,x,,,,,,,rw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,x,x,x,,,,,,,,,
fsgnjx.s,FR,x,,,,,,,rw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,x,x,x,,,,,,,,,
fmin.s,FR,x,,,,,,,rw,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,x,x,,,x,,,x,x,x,,,,,,,,,
fmax.s,FR,x,,,,,,,rw,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,v,,x,x,,,x,,,x,x,x,,,,,,,,,
feq.s,FC,x,x,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,v,,x,x,,,x,,,,x,x,,,w,,,,,,
flt.s,FC,x,x,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,v,,x,x,,,x,,,,x,x,,,w,,,,,,
fle.s,FC,x,x,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,v,,x,x,,,x,,,,x,x,,,w,,,,,,
fclass.s,FIX,x,x,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,x,,x,,,,w,,,,,,
flw,FL,x,,nx0,,,,,w,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,lw,r,,,,,,
fsw,FS,x,,nx0,,,,,r,,,,,,,,,,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,
fcvt.w.s,F2X,x,x,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vn,x,x,,,2,,,,,x,,,,w,,frm,,,,
fcvt.wu.s,F2X,x,x,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vn,x,x,,,2,,,,,x,,,,w,,frm,,,,
fcvt.s.w,X2F,x,,x,,,,,w,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,x,,,,2,,,,x,,,,,r,,,,,,
fcvt.s.wu,X2F,x,,x,,,,,w,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,x,,,,2,,,,x,,,,,r,,,,,,
fmv.x.w,F2X,x,x,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,x,,,,w,,,,,,
fmv.w.x,X2F,x,,x,,,,,w,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,r,,,,,,
fcvt.l.s,F2X,x,x,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vn,x,x,,,2,,,,,x,,,,w,,frm,,,,
fcvt.lu.s,F2X,x,x,,,,,,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vn,x,x,,,2,,,,,x,,,,w,,frm,,,,
fcvt.s.l,X2F,x,,x,,,,,w,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,x,,,,2,,,,x,,,,,r,,,,,,
fcvt.s.lu,X2F,x,,x,,,,,w,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n,x,,,,2,,,,x,,,,,r,,,,,,
