Instruction,Type,cp_asm_count,cp_rd,cp_rs1,cp_rs2,cmp_rd_rs1_eqval,cmp_rd_rs2_eqval,cmp_rs1_rs2_eqval,cp_gpr_hazard,cp_rd_corners,cp_rs1_corners,cp_rs2_corners,cr_rs1_rs2_corners,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cmp_rs1_rs2,cp_rd_sign,cp_rs1_sign,cp_rs2_sign,cr_rs1_rs2,cp_offset,cp_imm_sign,cr_rs1_imm,cp_rd_toggle,cp_rs1_toggle,cp_rs2_toggle,cp_imm_ones_zeros,cp_imm_zero,cp_memhazard,cp_memunaligned,cp_rd_boolean,cp_imm_shift,cp_rdp,cp_rs2p,cp_rd_corners,cp_rs2_corners,cp_rd_toggle,cp_rs2_toggle,cp_rs1p,cp_rs1_corners,cp_rs1_toggle,cp_fdp,cp_fs2p,cr_rs1_imm_corners
lb,x,x,x,,,,,,x,,,,,,,,,,,,,x,,x,,,x,,x,x,,,,,,,,,,,,,,
lh,x,x,x,,,,,,x,,,,,,,,,,,,,x,,x,,,x,,x,x,,,,,,,,,,,,,,
lw,x,x,x,,,,,,x,,,,,,,,,,,,,x,,x,,,x,,x,x,,,,,,,,,,,,,,
lbu,x,x,x,,,,,,x,,,,,,,,,,,,,x,,x,,,x,,x,x,,,,,,,,,,,,,,
lhu,x,x,x,,,,,,x,,,,,,,,,,,,,x,,x,,,x,,x,x,,,,,,,,,,,,,,
sb,x,,x,x,,,,,,,x,,,,,,,,,,,x,,,,x,x,,,x,,,,,,,,,,,,,,
sh,x,,x,x,,,,,,,x,,,,,,,,,,,x,,,,x,x,,,x,,,,,,,,,,,,,,
sw,x,,x,x,,,,,,,x,,,,,,,,,,,x,,,,x,x,,,x,,,,,,,,,,,,,,
addi,x,x,x,,x,,,,x,x,,,x,,,,x,x,,,,x,x,x,x,,x,,,,,,,,,,,,,,,,,x
ori,x,x,x,,x,,,,x,x,,,x,,,,x,x,,,,x,x,x,x,,x,,,,,,,,,,,,,,,,,x
andi,x,x,x,,x,,,,x,x,,,x,,,,x,x,,,,x,x,x,x,,x,,,,,,,,,,,,,,,,,x
xori,x,x,x,,x,,,,x,x,,,x,,,,x,x,,,,x,x,x,x,,x,,,,,,,,,,,,,,,,,x
slli,x,x,x,,x,,,,x,x,,,x,,,,x,x,,,,,,x,x,,,,,,,x,,,,,,,,,,,,
srai,x,x,x,,x,,,,x,x,,,x,,,,x,x,,,,,,x,x,,,,,,,x,,,,,,,,,,,,
srli,x,x,x,,x,,,,x,x,,,x,,,,x,x,,,,,,x,x,,,,,,,x,,,,,,,,,,,,
slti,x,x,x,,x,,,,,x,,,x,,,,,,,,,x,,,x,,,,,,x,,,,,,,,,,,,,x
sltiu,x,x,x,,x,,,,,x,,,x,,,,,,,,,x,,,x,,,,,,x,,,,,,,,,,,,,x
add,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,x,x,x,,,,,,,,,,,,,,,,,,
sub,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,x,x,x,,,,,,,,,,,,,,,,,,
sll,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,x,x,x,,,,,,,,,,,,,,,,,,
xor,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,x,x,x,,,,,,,,,,,,,,,,,,
srl,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,x,x,x,,,,,,,,,,,,,,,,,,
