Instruction,Type,cp_asm_count,cp_rd,cp_rs1,cp_rs2,cmp_rd_rs1_eqval,cmp_rd_rs2_eqval,cmp_rs1_rs2_eqval,cp_gpr_hazard,cp_rd_corners,cp_rs1_corners,cp_rs2_corners,cr_rs1_rs2_corners,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cmp_rs1_rs2,cp_rd_sign,cp_rs1_sign,cp_rs2_sign,cr_rs1_rs2,cp_offset,cp_imm_sign,cr_rs1_imm,cp_rd_toggle,cp_rs1_toggle,cp_rs2_toggle,cp_imm_ones_zeros,cp_imm_zero,cp_memhazard,cp_memunaligned,cp_rd_boolean,cp_uimm,cp_rdp,cp_rs2p,cp_rs1p,cp_fdp,cp_fs2p,cr_rs1_imm_corners,cp_fpr_hazard
min,R,x,x,x,x,x,x,x,rw,,x,x,x,x,x,x,x,,,,,,,,,x,x,,,,,,,,,,,,,
minu,R,x,x,x,x,x,x,x,rw,,x,x,x,x,x,x,x,,,,,,,,,x,x,,,,,,,,,,,,,
max,R,x,x,x,x,x,x,x,rw,,x,x,x,x,x,x,x,,,,,,,,,x,x,,,,,,,,,,,,,
maxu,R,x,x,x,x,x,x,x,rw,,x,x,x,x,x,x,x,,,,,,,,,x,x,,,,,,,,,,,,,
orn,R,x,x,x,x,x,x,x,rw,,x,x,x,x,x,x,x,,,,,,,,,x,x,,,,,,,,,,,,,
andn,R,x,x,x,x,x,x,x,rw,,x,x,x,x,x,x,x,,,,,,,,,x,x,,,,,,,,,,,,,
xnor,R,x,x,x,x,x,x,x,rw,,x,x,x,x,x,x,x,,,,,,,,,x,x,,,,,,,,,,,,,
rol,R,x,x,x,x,x,x,x,rw,,x,x,x,x,x,x,x,,,,,,,,,x,x,,,,,,,,,,,,,
ror,R,x,x,x,x,x,x,x,rw,,x,x,x,x,x,x,x,,,,,,,,,x,x,,,,,,,,,,,,,
orc.b,I1,x,x,x,,x,,,rw,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,
zext.h,I1,x,x,x,,x,,,rw,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,
clz,I1,x,x,x,,x,,,rw,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,
cpop,I1,x,x,x,,x,,,rw,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,
ctz,I1,x,x,x,,x,,,rw,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,
sext.b,I1,x,x,x,,x,,,rw,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,
sext.h,I1,x,x,x,,x,,,rw,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,
rev8,I1,x,x,x,,x,,,rw,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,
rori,IS,x,x,x,,x,,,rw,,x,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,,,
rolw,R,x,x,x,x,x,x,x,rw,,x,x,x,x,x,x,x,,,,,,,,,x,x,,,,,,,,,,,,,
rorw,R,x,x,x,x,x,x,x,rw,,x,x,x,x,x,x,x,,,,,,,,,x,x,,,,,,,,,,,,,
roriw,IS,x,x,x,,x,,,rw,,x,,,x,,,,,,,,,,,,x,,,,,,,w,,,,,,,
clzw,I1,x,x,x,,x,,,rw,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,
cpopw,I1,x,x,x,,x,,,rw,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,
ctzw,I1,x,x,x,,x,,,rw,,x,,,x,,,,,,,,,,,,x,,,,,,,,,,,,,,
