Instruction ,Type ,cp_asm_count ,cp_rd ,cp_rs1 ,cp_rs2 ,cmp_rd_rs1_eqval ,cmp_rd_rs2_eqval ,cmp_rs1_rs2_eqval ,cp_gpr_hazard ,cr_rs1_rs2_corners ,cmp_rd_rs1 ,cmp_rd_rs2 ,cmp_rd_rs1_rs2 ,cmp_rs1_rs2 ,cp_rd_sign ,cp_rs1_sign ,cp_rs2_sign ,cr_rs1_rs2 ,cp_offset ,cp_imm_sign ,cr_rs1_imm_corners ,cp_imm_ones_zeros ,cp_imm_zero ,cp_memhazard ,cp_memunaligned ,cp_rd_boolean ,cp_imm_shift ,cp_rdp ,cp_rs2p ,cp_rd_corners ,cp_rs2_corners ,cp_rd_toggle ,cp_rs2_toggle ,cp_rs1p ,cp_rs1_corners ,cp_rs1_toggle ,cp_fdp ,cp_fs2p ,cp_imm_mul ,cp_fpr_hazard
c.nop       ,CI   ,x            ,      ,       ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,           ,            ,            ,           ,          ,            ,                   ,                  ,            ,             ,                ,              ,             ,       ,        ,              ,               ,             ,              ,        ,               ,              ,       ,        ,           ,
c.addi4spn  ,CIW  ,x            ,      ,       ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,x          ,            ,            ,           ,          ,            ,                   ,addi4spn          ,            ,             ,                ,              ,             ,x      ,        ,              ,               ,x            ,              ,        ,               ,              ,       ,        ,addi4spn   ,
c.lw        ,CL   ,x            ,      ,       ,       ,                 ,                 ,                  ,            ,                   ,c          ,           ,               ,            ,x          ,            ,            ,           ,          ,            ,                   ,                  ,x           ,             ,                ,              ,             ,x      ,        ,lw            ,               ,x            ,              ,x       ,               ,              ,       ,        ,x          ,
c.sw        ,CS   ,x            ,      ,       ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,           ,            ,x           ,           ,          ,            ,                   ,                  ,x           ,             ,                ,              ,             ,       ,x       ,              ,x              ,             ,x             ,x       ,               ,              ,       ,        ,x          ,
c.lui       ,CI   ,x            ,nx2   ,       ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,x          ,            ,            ,           ,          ,clui        ,                   ,x                 ,            ,             ,                ,              ,             ,       ,        ,clui          ,               ,clui         ,              ,        ,               ,              ,       ,        ,           ,
c.addi      ,CI   ,x            ,x     ,       ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,x          ,            ,            ,           ,          ,x           ,                   ,x                 ,            ,             ,                ,              ,             ,       ,        ,x             ,               ,x            ,              ,        ,               ,              ,       ,        ,           ,
c.li        ,CI   ,x            ,x     ,       ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,x          ,            ,            ,           ,          ,x           ,                   ,x                 ,            ,             ,                ,              ,             ,       ,        ,6bit          ,               ,x            ,              ,        ,               ,              ,       ,        ,           ,
c.addi16sp  ,CI   ,x            ,      ,       ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,x          ,            ,            ,           ,          ,x           ,                   ,                  ,            ,             ,                ,              ,             ,       ,        ,              ,               ,             ,              ,        ,               ,              ,       ,        ,addi16sp   ,
c.andi      ,CB'  ,x            ,      ,       ,       ,                 ,                 ,                  ,            ,                   ,c          ,           ,               ,            ,x          ,x           ,            ,           ,          ,x           ,6bit               ,x                 ,            ,             ,                ,              ,             ,x      ,        ,x             ,               ,x            ,              ,x       ,x              ,x             ,       ,        ,           ,
c.srli      ,CB'  ,x            ,      ,       ,       ,                 ,                 ,                  ,            ,                   ,c          ,           ,               ,            ,           ,x           ,            ,           ,          ,            ,                   ,                  ,            ,             ,                ,              ,c            ,x      ,        ,srli          ,               ,srli         ,              ,x       ,               ,x             ,       ,        ,           ,
c.srai      ,CB'  ,x            ,      ,       ,       ,                 ,                 ,                  ,            ,                   ,c          ,           ,               ,            ,x          ,x           ,            ,           ,          ,            ,                   ,                  ,            ,             ,                ,              ,c            ,x      ,        ,srai          ,               ,x            ,              ,x       ,               ,x             ,       ,        ,           ,
c.slli      ,CI   ,x            ,x     ,       ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,x          ,            ,            ,           ,          ,            ,                   ,                  ,            ,             ,                ,              ,c            ,       ,        ,slli          ,               ,slli         ,              ,        ,               ,              ,       ,        ,           ,
c.sub       ,CA   ,x            ,      ,       ,       ,x                ,x                ,x                 ,            ,                   ,           ,c          ,               ,c           ,x          ,x           ,x           ,           ,          ,            ,                   ,                  ,            ,             ,                ,              ,             ,x      ,x       ,x             ,x              ,x            ,x             ,x       ,               ,x             ,       ,        ,           ,
c.xor       ,CA   ,x            ,      ,       ,       ,x                ,x                ,x                 ,            ,                   ,           ,c          ,               ,c           ,x          ,x           ,x           ,           ,          ,            ,                   ,                  ,            ,             ,                ,              ,             ,x      ,x       ,x             ,x              ,x            ,x             ,x       ,               ,x             ,       ,        ,           ,
c.or        ,CA   ,x            ,      ,       ,       ,x                ,x                ,x                 ,            ,                   ,           ,c          ,               ,c           ,x          ,x           ,x           ,           ,          ,            ,                   ,                  ,            ,             ,                ,              ,             ,x      ,x       ,x             ,x              ,x            ,x             ,x       ,               ,x             ,       ,        ,           ,
c.and       ,CA   ,x            ,      ,       ,       ,x                ,x                ,x                 ,            ,                   ,           ,c          ,               ,c           ,x          ,x           ,x           ,           ,          ,            ,                   ,                  ,            ,             ,                ,              ,             ,x      ,x       ,x             ,x              ,x            ,x             ,x       ,               ,x             ,       ,        ,           ,
c.beqz      ,CB   ,x            ,      ,       ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,           ,x           ,            ,           ,x         ,            ,                   ,                  ,            ,             ,                ,              ,             ,       ,        ,              ,               ,             ,              ,x       ,x              ,x             ,       ,        ,           ,
c.bnez      ,CB   ,x            ,      ,       ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,           ,x           ,            ,           ,x         ,            ,                   ,                  ,            ,             ,                ,              ,             ,       ,        ,              ,               ,             ,              ,x       ,x              ,x             ,       ,        ,           ,
c.mv        ,CR   ,x            ,x     ,       ,nx0    ,                 ,                 ,                  ,            ,                   ,           ,nx0        ,               ,            ,x          ,            ,x           ,           ,          ,            ,                   ,                  ,            ,             ,                ,              ,             ,       ,        ,x             ,x              ,x            ,x             ,        ,               ,              ,       ,        ,           ,
c.add       ,CR   ,x            ,x     ,       ,nx0    ,                 ,                 ,                  ,            ,                   ,           ,nx0        ,               ,            ,x          ,            ,x           ,           ,          ,            ,                   ,                  ,            ,             ,                ,              ,             ,       ,        ,x             ,x              ,x            ,x             ,        ,               ,              ,       ,        ,           ,
c.swsp      ,CSS  ,x            ,      ,       ,x      ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,           ,            ,x           ,           ,          ,            ,                   ,                  ,x           ,             ,                ,              ,             ,       ,        ,              ,x              ,             ,x             ,        ,               ,              ,       ,        ,4sp        ,
c.lwsp      ,CI   ,x            ,nx0   ,       ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,x          ,            ,            ,           ,          ,            ,                   ,                  ,            ,             ,                ,              ,             ,       ,        ,lw            ,               ,x            ,              ,        ,               ,              ,       ,        ,4sp        ,
c.jr        ,CR   ,x            ,      ,nx0    ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,           ,            ,            ,           ,rs1       ,            ,                   ,                  ,            ,             ,                ,              ,             ,       ,        ,              ,               ,             ,              ,        ,               ,              ,       ,        ,           ,
c.jalr      ,CR   ,x            ,      ,nx0    ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,           ,            ,            ,           ,rs1       ,            ,                   ,                  ,            ,             ,                ,              ,             ,       ,        ,              ,               ,             ,              ,        ,               ,              ,       ,        ,           ,
c.j         ,CJ   ,x            ,      ,       ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,           ,            ,            ,           ,x         ,            ,                   ,c_jal             ,            ,             ,                ,              ,             ,       ,        ,              ,               ,             ,              ,        ,               ,              ,       ,        ,           ,
c.ld        ,CL   ,x            ,      ,       ,       ,                 ,                 ,                  ,            ,                   ,c          ,           ,               ,            ,x          ,            ,            ,           ,          ,            ,                   ,                  ,x           ,             ,                ,              ,             ,x      ,        ,x             ,               ,x            ,              ,x       ,               ,              ,       ,        ,8          ,
c.sd        ,CS   ,x            ,      ,       ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,           ,            ,x           ,           ,          ,            ,                   ,                  ,x           ,             ,                ,              ,             ,       ,x       ,              ,x              ,             ,x             ,x       ,               ,              ,       ,        ,8          ,
c.addiw     ,CI   ,x            ,nx0   ,       ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,           ,            ,            ,           ,          ,x           ,                   ,x                 ,x           ,             ,                ,              ,             ,       ,        ,32bit         ,               ,x            ,              ,        ,               ,              ,       ,        ,           ,
c.subw      ,CA   ,x            ,      ,       ,       ,x                ,x                ,x                 ,            ,                   ,           ,c          ,               ,c           ,           ,x           ,x           ,           ,          ,            ,                   ,                  ,            ,             ,                ,              ,             ,x      ,x       ,32bit         ,x              ,x            ,x             ,x       ,               ,x             ,       ,        ,           ,
c.addw      ,CA   ,x            ,      ,       ,       ,x                ,x                ,x                 ,            ,                   ,           ,c          ,               ,c           ,           ,x           ,x           ,           ,          ,            ,                   ,                  ,            ,             ,                ,              ,             ,x      ,x       ,32bit         ,x              ,x            ,x             ,x       ,               ,x             ,       ,        ,           ,
c.ldsp      ,CI   ,x            ,nx0   ,       ,       ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,x          ,            ,            ,           ,          ,            ,                   ,                  ,x           ,             ,                ,              ,             ,       ,        ,x             ,               ,x            ,              ,        ,               ,              ,       ,        ,8sp        ,
c.sdsp      ,CSS  ,x            ,      ,       ,x      ,                 ,                 ,                  ,            ,                   ,           ,           ,               ,            ,           ,            ,x           ,           ,          ,            ,                   ,                  ,x           ,             ,                ,              ,             ,       ,        ,              ,x              ,             ,x             ,        ,               ,              ,       ,        ,8sp        ,
