Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_vs3,cp_vs2,cp_vs2_edges,cmp_vd_vs2,cmp_vs3_vs2,cp_rs1,cp_rs2,cp_rs2_edges,cp_masking_edges,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0
vle8.v,VXM,x,x,x,x,x,x,x,x,,,,,,nx0,,,x,e8,e8,x
vle16.v,VXM,x,x,x,x,x,x,x,x,,,,,,nx0,,,x,e16,e16,x
vle32.v,VXM,x,x,x,x,x,x,x,x,,,,,,nx0,,,x,e32,e32,x
vle64.v,VXM,x,x,x,x,x,x,x,x,,,,,,nx0,,,x,e64,e64,x
vlseg2e8.v,VXM,x,x,x,x,x,x,x,lte30,,,,,,nx0,,,x,e8_emul4max,e8_emul4max,x
vlseg2e16.v,VXM,x,x,x,x,x,x,x,lte30,,,,,,nx0,,,x,e16_emul4max,e16_emul4max,x
vlseg2e32.v,VXM,x,x,x,x,x,x,x,lte30,,,,,,nx0,,,x,e32_emul4max,e32_emul4max,x
vlseg2e64.v,VXM,x,x,x,x,x,x,x,lte30,,,,,,nx0,,,x,e64_emul4max,e64_emul4max,x
vlseg3e8.v,VXM,x,x,x,x,x,x,x,lte29,,,,,,nx0,,,x,e8_emul2max,e8_emul2max,x
vlseg3e16.v,VXM,x,x,x,x,x,x,x,lte29,,,,,,nx0,,,x,e16_emul2max,e16_emul2max,x
vlseg3e32.v,VXM,x,x,x,x,x,x,x,lte29,,,,,,nx0,,,x,e32_emul2max,e32_emul2max,x
vlseg3e64.v,VXM,x,x,x,x,x,x,x,lte29,,,,,,nx0,,,x,e64_emul2max,e64_emul2max,x
vlseg4e8.v,VXM,x,x,x,x,x,x,x,lte28,,,,,,nx0,,,x,e8_emul2max,e8_emul2max,x
vlseg4e16.v,VXM,x,x,x,x,x,x,x,lte28,,,,,,nx0,,,x,e16_emul2max,e16_emul2max,x
vlseg4e32.v,VXM,x,x,x,x,x,x,x,lte28,,,,,,nx0,,,x,e32_emul2max,e32_emul2max,x
vlseg4e64.v,VXM,x,x,x,x,x,x,x,lte28,,,,,,nx0,,,x,e64_emul2max,e64_emul2max,x
vlseg5e8.v,VXM,x,x,x,x,x,x,x,lte27,,,,,,nx0,,,x,e8_emul1max,e8_emul1max,x
vlseg5e16.v,VXM,x,x,x,x,x,x,x,lte27,,,,,,nx0,,,x,e16_emul1max,e16_emul1max,x
vlseg5e32.v,VXM,x,x,x,x,x,x,x,lte27,,,,,,nx0,,,x,e32_emul1max,e32_emul1max,x
