Instruction,Type,RV32,RV64,EFFEW8,EFFEW16,EFFEW32,EFFEW64,cp_asm_count,cp_vd,cp_rd,cp_vs2,cp_rs2,cp_vs1,cp_rs1,cp_imm_5bit,cp_vs3,cmp_vd_vs2,cmp_vd_vs1,cmp_vs1_vs2,cmp_vd_vs1_vs2,cp_vs2_corners,cp_vs1_corners,cr_vs2_vs1_corners,cr_vxrm_vs2_vs1_corners,cp_rs1_corners,cr_vs2_rs1_corners,cr_vxrm_vs2_rs1_corners,cr_vs2_imm_corners,cr_vxrm_vs2_imm_corners,cp_masking_corners,cr_vl_lmul,cr_vtype_agnostic,cp_vl_0,cp_custom
vadd.vv,VVVM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,
vadd.vx,VVXM,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,
vadd.vi,VVIM,x,x,x,x,x,x,x,x,,x,,,,x,,x,,,,x,,,,,,,x,,x,x,x,x,
vwadd.vv,VVVM,x,x,x,x,x,,x,emul2,,x,,x,,,,,,x,,x,x,x,,,,,,,x,lmul4max,lmul4max,x,wvv_all
vwadd.vx,VVXM,x,x,x,x,x,,x,emul2,,x,,,x,,,,,,,x,,,,x,x,,,,x,lmul4max,lmul4max,x,wvx_all
vwaddu.vv,VVVM,x,x,x,x,x,,x,emul2,,x,,x,,,,,,x,,x,x,x,,,,,,,x,lmul4max,lmul4max,x,wvv
vwaddu.vx,VVXM,x,x,x,x,x,,x,emul2,,x,,,x,,,,,,,x,,,,x,x,,,,x,lmul4max,lmul4max,x,wvx
vwadd.wv,VVVM,x,x,x,x,x,,x,emul2,,emul2,,x,,,,emul2,,,,emul2,x,wv,,,,,,,x,lmul4max,lmul4max,x,wwv_all
vwadd.wx,VVXM,x,x,x,x,x,,x,emul2,,emul2,,,x,,,emul2,,,,emul2,,,,x,wx,,,,x,lmul4max,lmul4max,x,
vwaddu.wv,VVVM,x,x,x,x,x,,x,emul2,,emul2,,x,,,,emul2,,,,emul2,x,wv,,,,,,,x,lmul4max,lmul4max,x,wwv
vwaddu.wx,VVXM,x,x,x,x,x,,x,emul2,,emul2,,,x,,,emul2,,,,emul2,,,,x,wx,,,,x,lmul4max,lmul4max,x,
vsub.vv,VVVM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,
vsub.vx,VVXM,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,
vwsub.vv,VVVM,x,x,x,x,x,,x,emul2,,x,,x,,,,,,x,,x,x,x,,,,,,,x,lmul4max,lmul4max,x,wvv
vwsub.vx,VVXM,x,x,x,x,x,,x,emul2,,x,,,x,,,,,,,x,,,,x,x,,,,x,lmul4max,lmul4max,x,wvx
vwsubu.vv,VVVM,x,x,x,x,x,,x,emul2,,x,,x,,,,,,x,,x,x,x,,,,,,,x,lmul4max,lmul4max,x,wvv
vwsubu.vx,VVXM,x,x,x,x,x,,x,emul2,,x,,,x,,,,,,,x,,,,x,x,,,,x,lmul4max,lmul4max,x,wvx
vwsub.wv,VVVM,x,x,x,x,x,,x,emul2,,emul2,,x,,,,emul2,,,,emul2,x,wv,,,,,,,x,lmul4max,lmul4max,x,wwv
vwsub.wx,VVXM,x,x,x,x,x,,x,emul2,,emul2,,,x,,,emul2,,,,emul2,,,,x,wx,,,,x,lmul4max,lmul4max,x,
vwsubu.wv,VVVM,x,x,x,x,x,,x,emul2,,emul2,,x,,,,emul2,,,,emul2,x,wv,,,,,,,x,lmul4max,lmul4max,x,wwv
vwsubu.wx,VVXM,x,x,x,x,x,,x,emul2,,emul2,,,x,,,emul2,,,,emul2,,,,x,wx,,,,x,lmul4max,lmul4max,x,
vrsub.vx,VVXM,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,
vrsub.vi,VVIM,x,x,x,x,x,x,x,x,,x,,,,x,,x,,,,x,,,,,,,x,,x,x,x,x,
vzext.vf2,VVM,x,x,,x,x,x,x,x,,x,,,,,,,,,,emulf2,,,,,,,,,x,x,x,x,vext2
vzext.vf4,VVM,x,x,,,x,x,x,x,,x,,,,,,,,,,emulf4,,,,,,,,,x,x,x,x,vext4
vzext.vf8,VVM,x,x,,,,x,x,x,,x,,,,,,,,,,emulf8,,,,,,,,,x,x,x,x,vext8
vsext.vf2,VVM,x,x,,x,x,x,x,x,,x,,,,,,,,,,emulf2,,,,,,,,,x,x,x,x,vext2
vsext.vf4,VVM,x,x,,,x,x,x,x,,x,,,,,,,,,,emulf4,,,,,,,,,x,x,x,x,vext4
vsext.vf8,VVM,x,x,,,,x,x,x,,x,,,,,,,,,,emulf8,,,,,,,,,x,x,x,x,vext8
vadc.vvm,VVVM,x,x,x,x,x,x,x,nv0,,nv0,,nv0,,,,nv0,nv0,nv0,nv0,x,x,x,,,,,,,x,x,x,x,
vadc.vxm,VVXM,x,x,x,x,x,x,x,nv0,,nv0,,,x,,,nv0,,,,x,,,,x,x,,,,x,x,x,x,
vadc.vim,VVIM,x,x,x,x,x,x,x,nv0,,nv0,,,,x,,nv0,,,,x,,,,,,,x,,x,x,x,x,
vsbc.vvm,VVVM,x,x,x,x,x,x,x,nv0,,nv0,,nv0,,,,nv0,nv0,nv0,nv0,x,x,x,,,,,,,x,x,x,x,
vsbc.vxm,VVXM,x,x,x,x,x,x,x,nv0,,nv0,,,x,,,nv0,,,,x,,,,x,x,,,,x,x,x,x,
vmadc.vvm,VVVM,x,x,x,x,x,x,x,x,,nv0,,nv0,,,,,,nv0,,x,x,x,,,,,,,x,x,x,x,maskwrite_masked
vmadc.vxm,VVXM,x,x,x,x,x,x,x,x,,nv0,,,x,,,,,,,x,,,,x,x,,,,x,x,x,x,maskwrite_masked
vmadc.vim,VVIM,x,x,x,x,x,x,x,x,,nv0,,,,x,,,,,,x,,,,,,,x,,x,x,x,x,maskwrite_masked
vmadc.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,,,x,,x,x,x,,,,,,,,x,x,x,maskwrite_unmasked
vmadc.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,,,,,x,,,,x,x,,,,,x,x,x,maskwrite_unmasked
vmadc.vi,VVI,x,x,x,x,x,x,x,x,,x,,,,x,,,,,,x,,,,,,,x,,,x,x,x,maskwrite_unmasked
vmsbc.vvm,VVVM,x,x,x,x,x,x,x,x,,nv0,,nv0,,,,,,nv0,,x,x,x,,,,,,,x,x,x,x,maskwrite_masked
vmsbc.vxm,VVXM,x,x,x,x,x,x,x,x,,nv0,,,x,,,,,,,x,,,,x,x,,,,x,x,x,x,maskwrite_masked
vmsbc.vv,VVV,x,x,x,x,x,x,x,x,,x,,x,,,,,,x,,x,x,x,,,,,,,,x,x,x,maskwrite_unmasked
vmsbc.vx,VVX,x,x,x,x,x,x,x,x,,x,,,x,,,,,,,x,,,,x,x,,,,,x,x,x,maskwrite_unmasked
vand.vv,VVVM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,
vand.vx,VVXM,x,x,x,x,x,x,x,x,,x,,,x,,,x,,,,x,,,,x,x,,,,x,x,x,x,
vand.vi,VVIM,x,x,x,x,x,x,x,x,,x,,,,x,,x,,,,x,,,,,,,x,,x,x,x,x,
vor.vv,VVVM,x,x,x,x,x,x,x,x,,x,,x,,,,x,x,x,x,x,x,x,,,,,,,x,x,x,x,
