Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs2_edges,cmp_rs1_rs2,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cp_gpr_hazard,cp_align
amoadd.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,
amoadd.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,word
amoand.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,
amoand.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,word
amomax.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,
amomax.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,word
amomaxu.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,
amomaxu.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,word
amomin.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,
amomin.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,word
amominu.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,
amominu.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,word
amoor.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,
amoor.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,word
amoswap.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,
amoswap.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,word
amoxor.d,A,,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,
amoxor.w,A,x,x,x,nx0,x,x,x,nx0,nx0,x,nx0,rw,word
