Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs1_edges,cp_rs2_edges,cr_rs1_rs2_edges,cmp_rs1_rs2,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cp_uimm,cp_gpr_hazard
andn,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
clz,I1,x,x,x,x,,x,x,,,,x,,,,rw
clzw,I1,,x,x,x,,x,x,,,,x,,,,rw
cpop,I1,x,x,x,x,,x,x,,,,x,,,,rw
cpopw,I1,,x,x,x,,x,x,,,,x,,,,rw
ctz,I1,x,x,x,x,,x,x,,,,x,,,,rw
ctzw,I1,,x,x,x,,x,x,,,,x,,,,rw
max,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
maxu,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
min,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
minu,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
orc.b,I1,x,x,x,x,,x,orcb,,,,x,,,,rw
orn,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
rev8,I1,x,x,x,x,,x,x,,,,x,,,,rw
rol,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
rolw,R,,x,x,x,x,x,x,x,x,x,x,x,x,,rw
ror,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
rori,IS,x,x,x,x,,x,x,,,,x,,,x,rw
roriw,ISW,,x,x,x,,x,x,,,,x,,,5,rw
rorw,R,,x,x,x,x,x,x,x,x,x,x,x,x,,rw
sext.b,I1,x,x,x,x,,x,x,,,,x,,,,rw
sext.h,I1,x,x,x,x,,x,x,,,,x,,,,rw
xnor,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
zext.h,I1,x,x,x,x,,x,x,,,,x,,,,rw
