Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs1_edges,cp_rs2_edges,cr_rs1_rs2_edges,cmp_rs1_rs2,cmp_rd_rs1,cmp_rd_rs2,cmp_rd_rs1_rs2,cp_uimm,cp_gpr_hazard
andn,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
brev8,I1,x,x,x,x,,x,x,,,,x,,,,rw
orn,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
pack,R,x,x,x,x,nx0,x,x,x,x,nx0,,nx0,nx0,,rw
packh,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
rev8,I1,x,x,x,x,,x,x,,,,x,,,,rw
rol,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
ror,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
rori,IS,x,x,x,x,,x,x,,,,x,,,x,rw
unzip,I1,x,,x,x,,x,x,,,,x,,,,rw
xnor,R,x,x,x,x,x,x,x,x,x,x,x,x,x,,rw
zip,I1,x,,x,x,,x,x,,,,x,,,,rw
