Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs1_edges,cp_rs2_edges,cr_rs1_imm_edges,cr_rs1_rs2_edges,cmp_rs1_rs2,cmp_rd_rs1,cmp_rd_rs2,cp_offset,cp_uimm,cp_imm_edges,cp_rs1p,cp_rs2p,cp_rdp,cp_imm_mul
c.add,CR,x,x,x,,nx0,nx0,x,x,,x,,,nx0,,,,,,,
c.addi,CI,x,x,x,,,nx0,x,,6bit_n0,,,,,,,,,,,
c.addi16sp,CI,x,x,x,,,,,,,,,,,,,,,,,addi16sp
c.addi4spn,CIW,x,x,x,,,,,,,,,,,,,,,,x,addi4spn
c.addiw,CI,,x,x,,,nx0,x,,6bit,,,,,,,,,,,
c.addw,CA,,x,x,,,,x,x,,,c,,c,,,,,x,x,
c.and,CA,x,x,x,,,,x,x,,,c,,c,,,,,x,x,
c.andi,CBP,x,x,x,,,,x,,6bit,,,c,,,,,,,x,
c.beqz,CB,x,x,x,,,,x,,,,,,,x,,,x,,,
c.bnez,CB,x,x,x,,,,x,,,,,,,x,,,x,,,
c.j,CJ,x,x,x,,,,,,,,,,,x,,c_jal,,,,
c.jal,CJAL,x,,x,,,,,,,,,,,x,,c_jal,,,,
c.jalr,CJALR,x,x,x,nx0,,,,,,,,,,c_jr,,,,,,
c.jr,CJR,x,x,x,nx0,,,,,,,,,,c_jr,,,,,,
c.ld,CL,,x,x,,,,,,,,,c,,,,,x,,x,8
c.ldsp,CI,,x,x,,,nx0,,,,,,,,,,,,,,8sp
c.li,CI,x,x,x,,,nx0,,,,,,,,,,6bit,,,,
c.lui,CI,x,x,x,,,nx2,,,,,,,,,,6bit_n0,,,,
c.lw,CL,x,x,x,,,,,,,,,c,,,,,x,,x,x
c.lwsp,CLS,x,x,x,,,nx0,,,,,,,,,,,,,,4sp
c.mv,CR,x,x,x,,nx0,nx0,,x,,,,,nx0,,,,,,,
c.nop,CN,x,x,x,,,,,,,,,,,,,,,,,
c.or,CA,x,x,x,,,,x,x,,,c,,c,,,,,x,x,
c.sd,CS,,x,x,,,,,x,,,,,,,,,x,x,,8
c.sdsp,CSS,,x,x,,x,,,x,,,,,,,,,,,,8sp
c.slli,CI,x,x,x,,,nx0,x,,c,,,,,,n0,,,,,
c.srai,CBP,x,x,x,,,,x,,c,,,c,,,n0,,,,x,
c.srli,CBP,x,x,x,,,,x,,c,,,c,,,n0,,,,x,
c.sub,CA,x,x,x,,,,x,x,,,c,,c,,,,,x,x,
c.subw,CA,,x,x,,,,x,x,,,c,,c,,,,,x,x,
c.sw,CS,x,x,x,,,,,x,,,,,,,,,x,x,,x
c.swsp,CSS,x,x,x,,x,,,x,,,,,,,,,,,,4sp
c.xor,CA,x,x,x,,,,x,x,,,c,,c,,,,,x,x,
