Instruction,Type,RV32,RV64,cp_asm_count,cp_rs1,cp_rs2,cp_rd,cp_rs1_edges,cp_imm_edges,cp_fs1,cp_fs2,cp_fs3,cp_fd,cp_fs1_edges,cp_fs2_edges,cp_fs3_edges,cmp_fd_fs1,cmp_fd_fs2,cmp_fd_fs3,cp_frm,cp_csr_fflags,cp_csr_frm,cr_fs1_fs2_edges,cr_fs1_fs3_edges,cp_fclass,cp_NaNBox,cp_fs1_badNB,cp_fs2_badNB,cp_fs3_badNB,cp_fpr_hazard,cp_gpr_hazard
fadd.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,3,von,x,frm_H,,,S_H,S_H,S_H,,rw,
fclass.h,FIX,x,x,x,,,x,,,x,,,,H,,,,,,,,,,,x,,S_H,,,r,w
fcvt.h.l,X2F,,x,x,x,,,x,,,,,x,,,,,,,2,on,x,,,,S_H,,,,w,r
fcvt.h.lu,X2F,,x,x,x,,,x,,,,,x,,,,,,,2,on,x,,,,S_H,,,,w,r
fcvt.h.s,FI,x,x,x,,,,,,x,,,x,frm,,,x,,,2,voun,x,,,,S_H,,,,rw,
fcvt.h.w,X2F,x,x,x,x,,,x,,,,,x,,,,,,,2,on,x,,,,S_H,,,,w,r
fcvt.h.wu,X2F,x,x,x,x,,,x,,,,,x,,,,,,,2,on,x,,,,S_H,,,,w,r
fcvt.l.h,F2X,,x,x,,,x,,,x,,,,frm_H,,,,,,2,vn,x,,,,,S_H,,,r,w
fcvt.lu.h,F2X,,x,x,,,x,,,x,,,,frm_H,,,,,,2,vn,x,,,,,S_H,,,r,w
fcvt.s.h,FI,x,x,x,,,,,,x,,,x,H,,,x,,,,v,,,,,,S_H,,,rw,
fcvt.w.h,F2X,x,x,x,,,x,,,x,,,,frm_H,,,,,,2,vn,x,,,,,S_H,,,r,w
fcvt.wu.h,F2X,x,x,x,,,x,,,x,,,,frm_H,,,,,,2,vn,x,,,,,S_H,,,r,w
fdiv.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,3,vdoun,x,frm_H,,,S_H,S_H,S_H,,rw,
feq.h,FC,x,x,x,,,x,,,x,x,,,H,H,,,,,,v,,H,,,,S_H,S_H,,r,w
fle.h,FC,x,x,x,,,x,,,x,x,,,H,H,,,,,,v,,H,,,,S_H,S_H,,r,w
flh,FL,x,x,x,nx0,,,,x,,,,x,,,,,,,,,,,,,S_H,,,,w,r
flt.h,FC,x,x,x,,,x,,,x,x,,,H,H,,,,,,v,,H,,,,S_H,S_H,,r,w
fmadd.h,FR4,x,x,x,,,,,,x,x,x,x,H,H,H,x,x,x,4,voun,x,frm4_H,frm4_H,,S_H,S_H,S_H,S_H,rw,
fmax.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,,v,,H,,,S_H,S_H,S_H,,rw,
fmin.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,,v,,H,,,S_H,S_H,S_H,,rw,
fmsub.h,FR4,x,x,x,,,,,,x,x,x,x,H,H,H,x,x,x,4,voun,x,frm4_H,frm4_H,,S_H,S_H,S_H,S_H,rw,
fmul.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,3,voun,x,frm_H,,,S_H,S_H,S_H,,rw,
fmv.h.x,X2F,x,x,x,x,,,x,,,,,x,,,,,,,,,,,,,S_H,,,,w,r
fmv.x.h,F2X,x,x,x,,,x,,,x,,,,H,,,,,,,,,,,,,S_H,,,r,w
fnmadd.h,FR4,x,x,x,,,,,,x,x,x,x,H,H,H,x,x,x,4,voun,x,frm4_H,frm4_H,,S_H,S_H,S_H,S_H,rw,
fnmsub.h,FR4,x,x,x,,,,,,x,x,x,x,H,H,H,x,x,x,4,voun,x,frm4_H,frm4_H,,S_H,S_H,S_H,S_H,rw,
fsgnj.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,,,,H,,,S_H,S_H,S_H,,rw,
fsgnjn.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,,,,H,,,S_H,S_H,S_H,,rw,
fsgnjx.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,,,,H,,,S_H,S_H,S_H,,rw,
fsh,FS,x,x,x,nx0,,,,x,,x,,,,H,,,,,,,,,,,,,S_H,,r,r
fsqrt.h,FI,x,x,x,,,,,,x,,,x,H,,,x,,,2,vn,x,,,,S_H,S_H,,,rw,
fsub.h,FR,x,x,x,,,,,,x,x,,x,H,H,,x,x,,3,von,x,frm_H,,,S_H,S_H,S_H,,rw,
