Instruction,Type,RV32,RV64,cp_asm_count,cp_fs1,cp_fd,cp_fs1_edges,cmp_fd_fs1,cp_frm,cp_csr_fflags,cp_csr_frm,cp_NaNBox,cp_fs1_badNB,cp_fs2_badNB,cp_fs3_badNB,cp_fpr_hazard
fcvt.d.h,FI,x,x,x,x,x,H,x,,v,,,D_H,,,rw
fcvt.h.d,FI,x,x,x,x,x,frm_D,x,2,voun,x,D_H,,,,rw

fadd.h,FR,x,x,,,,,,,,,D_H,D_H,D_H,,
fclass.h,FIX,x,x,,,,,,,,,,D_H,,,
fcvt.h.l,X2F,,x,,,,,,,,,D_H,,,,
fcvt.h.lu,X2F,,x,,,,,,,,,D_H,,,,
fcvt.h.s,FI,x,x,,,,,,,,,D_H,D_H,,,
fcvt.h.w,X2F,x,x,,,,,,,,,D_H,,,,
fcvt.h.wu,X2F,x,x,,,,,,,,,D_H,,,,
fcvt.l.h,F2X,,x,,,,,,,,,,D_H,,,
fcvt.lu.h,F2X,,x,,,,,,,,,,D_H,,,
fcvt.s.h,FI,x,x,,,,,,,,,D_S,D_H,,,
fcvt.w.h,F2X,x,x,,,,,,,,,,D_H,,,
fcvt.wu.h,F2X,x,x,,,,,,,,,,D_H,,,
fdiv.h,FR,x,x,,,,,,,,,D_H,D_H,D_H,,
feq.h,FC,x,x,,,,,,,,,,D_H,D_H,,
fle.h,FC,x,x,,,,,,,,,,D_H,D_H,,
flh,FL,x,x,,,,,,,,,D_H,,,,
flt.h,FC,x,x,,,,,,,,,,D_H,D_H,,
fmadd.h,FR4,x,x,,,,,,,,,D_H,D_H,D_H,D_H,
fmax.h,FR,x,x,,,,,,,,,D_H,D_H,D_H,,
fmin.h,FR,x,x,,,,,,,,,D_H,D_H,D_H,,
fmsub.h,FR4,x,x,,,,,,,,,D_H,D_H,D_H,D_H,
fmul.h,FR,x,x,,,,,,,,,D_H,D_H,D_H,,
fmv.h.x,X2F,x,x,,,,,,,,,D_H,,,,
fmv.x.h,F2X,x,x,,,,,,,,,,D_H,,,
fnmadd.h,FR4,x,x,,,,,,,,,D_H,D_H,D_H,D_H,
fnmsub.h,FR4,x,x,,,,,,,,,D_H,D_H,D_H,D_H,
fsgnj.h,FR,x,x,,,,,,,,,D_H,D_H,D_H,,
fsgnjn.h,FR,x,x,,,,,,,,,D_H,D_H,D_H,,
fsgnjx.h,FR,x,x,,,,,,,,,D_H,D_H,D_H,,
fsh,FS,x,x,,,,,,,,,,,D_H,,
fsqrt.h,FI,x,x,,,,,,,,,D_H,D_H,,,
fsub.h,FR,x,x,,,,,,,,,D_H,D_H,D_H,,
